section,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath
2015Q1,25.0691137,121.5927226,371,54215,2,146.07,0,0,1,1,5,2014-10-24,2009-01-06,1,14,10,-1,TRUE,TRUE,TRUE,2,2,2
2015Q1,25.060485,121.540114,1480,65e3,0,43.92,0,0,1,0,11,2014-10-08,1984-05-24,1,7,6,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0603725,121.5412233,779,58e3,0,74.45,0,0,1,0,11,2014-10-11,1984-01-10,1,5,5,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0603725,121.5412233,624,6e4,0,96.09,0,0,1,0,11,2014-10-22,1969-09-25,1,4,5,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.053564,121.546863,242,35e3,2,144.41,0,0,1,0,7,2014-10-07,1982-12-10,5,7,6,-1,TRUE,TRUE,TRUE,2,1,2
2015Q1,25.029843,121.561479,862,45e3,0,52.2,0,0,1,0,10,2014-10-17,1975-06-30,1,4,5,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0587629,121.5571904,616,45206,2,73.43,0,0,1,0,7,2014-10-20,1977-04-07,7,7,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0532687,121.5510195,533,57e3,2,106.99,0,0,1,0,7,2014-10-15,2010-01-05,6,7,6,-1,TRUE,TRUE,TRUE,2,2,2
2015Q1,25.0336571,121.5738977,440,65088,1,147.86,0,0,1,0,10,2014-10-09,2009-07-02,12,19,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.0634505,121.5446756,426,38e3,0,89.2,0,0,1,0,7,2014-10-12,1973-06-28,1,4,5,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0624296,121.5450836,304,32e3,0,105.12,0,0,1,0,7,2014-10-15,NA,1,4,5,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0511569,121.580386,125,8500,0,67.79,0,0,1,0,4,2014-10-18,1995-12-19,2,16,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0445321,121.5255064,688,5e4,1,72.67,0,0,1,0,12,2014-10-31,2007-05-11,12,14,10,-1,TRUE,TRUE,TRUE,2,2,1
2015Q1,25.0704996,121.5198081,286,45e3,2,157.25,0,0,1,0,3,2014-10-31,2012-04-03,5,10,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0467143,121.5094059,426,8e3,1,18.78,0,0,1,0,8,2014-10-15,NA,9,12,10,-1,TRUE,FALSE,TRUE,1,0,1
2015Q1,25.048493,121.5187377,693,63e3,1,90.93,0,0,1,0,3,2014-10-27,2009-07-24,17,18,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.03411,121.528614,459,9e4,2,195.94,0,0,1,0,12,2014-10-10,2010-08-18,5,14,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.112843,121.52523,409,8e4,2,195.4,0,0,1,0,1,2014-10-28,2007-05-21,5,15,10,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.111463,121.5338091,550,65e3,2,118.24,118.24,0,1,0,6,2014-10-28,2010-10-25,3,7,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,24.9916274,121.5440059,268,29545,2,110.36,0,0,1,0,9,2014-10-29,1989-06-24,6,10,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0357959,121.5421071,400,55e3,3,137.55,19.9,1,1,0,2,2014-11-01,NA,4,5,5,-1,TRUE,FALSE,TRUE,3,2,3
2015Q1,25.0269435,121.548989,346,78e3,0,225.29,0,0,1,0,2,2014-10-06,1989-10-14,1,21,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0385268,121.5569442,478,90200,3,188.7,0,0,1,0,2,2014-10-27,2004-07-23,5,7,6,-1,TRUE,TRUE,FALSE,3,3,3
2015Q1,25.041621,121.555208,534,64e3,2,119.79,0,0,1,0,2,2014-10-22,NA,5,12,10,-1,TRUE,TRUE,FALSE,1,1,2
2015Q1,25.0380363,121.5478476,462,67e3,2,144.94,0,0,1,0,2,2014-10-10,NA,3,15,10,-1,TRUE,TRUE,TRUE,2,2,2
2015Q1,25.038834,121.556207,398,44e3,2,110.47,0,0,1,0,2,2014-10-22,NA,5,7,6,-1,TRUE,FALSE,TRUE,3,2,2
2015Q1,25.0336459,121.5422289,1368,1e6,0,731.22,0,0,1,4,2,2014-09-30,2001-06-01,-1,11,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0416734,121.5539807,514,428400,2,833.06,0,0,1,0,2,2014-10-22,NA,8,14,1,-1,TRUE,TRUE,TRUE,6,2,2
2015Q1,25.0268871,121.5273208,471,72e3,2,153.01,0,0,1,0,2,2014-10-24,1999-11-26,12,16,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0404986,121.5509907,466,74e3,2,158.79000000000005,0,0,1,0,2,2014-10-20,1987-07-09,3,10,6,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.0385268,121.5569442,478,90200,3,188.7,0,0,1,0,2,2014-10-22,2004-07-23,5,7,6,-1,TRUE,TRUE,FALSE,3,3,3
2015Q1,25.02832,121.5478194,264,88e3,3,333.48,0,0,1,1,2,2014-10-21,2013-05-09,4,11,10,-1,TRUE,TRUE,FALSE,4,2,3
2015Q1,25.0344053,121.5269823,1506,77e3,1,51.14,0,0,1,0,2,2014-10-30,NA,1,12,10,-1,TRUE,FALSE,FALSE,0,1,1
2015Q1,25.0311851,121.5543338,1206,15e4,0,124.34,0,0,1,0,2,2014-10-06,1993-07-20,-1,3,3,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,24.9941611,121.5415433,557,55e3,0,98.75,128,0,1,0,9,2014-10-17,1969-06-30,1,4,3,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0331416,121.5159658,377,23e3,1,61.06,0,0,1,0,12,2014-10-07,NA,3,4,5,-1,TRUE,FALSE,FALSE,2,1,1
2015Q1,25.012527,121.5354658,281,46e3,0,163.8,0,0,1,0,12,2014-10-17,1984-12-15,2,7,1,-1,FALSE,FALSE,TRUE,0,0,0
2015Q1,25.0342563,121.5075713,151,188e3,0,1241.61,0,0,1,0,12,2014-10-23,1981-02-16,1,7,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.000326,121.5378652,263,3e4,1,114.08,0,0,1,0,9,2014-10-26,NA,1,2,3,-1,TRUE,FALSE,FALSE,0,1,1
2015Q1,25.0378347,121.5684806,998,978615,0,980.33,33.05,0,2,0,10,2014-10-17,2010-08-05,1,21,1,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.0284293,121.5016054,321,1e4,1,31.18,13.09,1,1,0,8,2014-10-10,1975-05-08,4,5,5,-1,TRUE,FALSE,TRUE,2,1,1
2015Q1,25.1041533,121.5266027,489,76e3,2,155.42,0,0,1,0,6,2014-10-27,2005-12-28,6,14,10,-1,TRUE,TRUE,TRUE,3,1,2
2015Q1,25.0372139,121.5291422,368,35e3,2,95.12,0,0,1,0,12,2014-10-22,1983-08-26,4,5,5,-1,TRUE,FALSE,FALSE,3,2,2
